"","date","id","prec","tair","tw","tmax","tmin","urmax","patm","pnmm","wd","wsmax","n","cc","evap","ur","ws"
"1",1961-01-01 00:00:00,83743,NA,NA,NA,32.4,NA,NA,NA,NA,NA,NA,1.4,NA,2.1,77.75,0
"2",1961-01-01 12:00:00,83743,NA,25.8,24.4,NA,23.9,89,1003.9,NA,0,0,NA,10,NA,NA,NA
"3",1961-01-01 18:00:00,83743,NA,30.6,25,NA,NA,62,1001.1,NA,0,0,NA,10,NA,NA,NA
"4",1961-01-02 00:00:00,83743,NA,27.8,25.3,30.9,NA,80,1003.2,NA,0,0,0.1,10,2.9,81.75,0
"5",1961-01-02 12:00:00,83743,3.5,27,24.8,NA,24.8,83,1003,NA,0,0,NA,10,NA,NA,NA
"6",1961-01-02 18:00:00,83743,NA,30.2,25.3,NA,NA,66,999.6,NA,0,0,NA,10,NA,NA,NA
"7",1961-01-03 00:00:00,83743,NA,25.8,24.4,28.5,NA,89,1001.6,NA,0,0,4.2,10,3.3,82.75,1
"8",1961-01-03 12:00:00,83743,0.4,26.6,24.4,NA,24.6,83,1003.1,NA,0,0,NA,10,NA,NA,NA
"9",1961-01-03 18:00:00,83743,NA,27.2,23.1,NA,NA,70,1002,NA,18,2,NA,10,NA,NA,NA
"10",1961-01-04 00:00:00,83743,NA,25.1,23.8,28,NA,89,1004.8,NA,36,1,6,9,2.8,81.25,2.266667
"11",1961-01-04 12:00:00,83743,0.6,26,23.8,NA,23.5,82,1004.3,NA,5,1.5,NA,7,NA,NA,NA
"12",1961-01-04 18:00:00,83743,NA,27.2,23.9,NA,NA,75,1002.4,NA,14,5.3,NA,6,NA,NA,NA
"13",1961-01-05 00:00:00,83743,NA,25.6,23.6,28,NA,84,1004.2,NA,0,0,2.5,10,2.9,83.75,2.1
"14",1961-01-05 12:00:00,83743,0.2,26,23.7,NA,24.2,82,1005.9,NA,5,1.5,NA,10,NA,NA,NA
"15",1961-01-05 18:00:00,83743,NA,27,23.8,NA,NA,75,1004.3,NA,14,4.8,NA,10,NA,NA,NA
"16",1961-01-06 00:00:00,83743,NA,24.6,23.3,31.2,NA,89,1005.2,NA,0,0,9.1,10,3,74.25,2.033333
"17",1961-01-06 12:00:00,83743,0,28.4,24.8,NA,23.7,74,1003.8,NA,0,0,NA,7,NA,NA,NA
"18",1961-01-06 18:00:00,83743,NA,30.1,26,NA,NA,71,1000.6,NA,14,5.1,NA,6,NA,NA,NA
"19",1961-01-07 00:00:00,83743,NA,27.8,24.7,30.6,NA,76,1001,NA,27,1,0.7,10,4.4,75,0.9
"20",1961-01-07 12:00:00,83743,17.3,27.6,24.6,NA,26.4,78,1004.2,NA,0,0,NA,10,NA,NA,NA
"21",1961-01-07 18:00:00,83743,NA,28,24.2,NA,NA,72,1004.4,NA,18,2.7,NA,10,NA,NA,NA
"22",1961-01-08 00:00:00,83743,NA,26.4,23.2,28.3,NA,75,1007.5,NA,0,0,0.1,10,3.6,81,1
"23",1961-01-08 12:00:00,83743,0.7,26.3,23.7,NA,24.8,80,1008.4,NA,0,0,NA,10,NA,NA,NA
"24",1961-01-08 18:00:00,83743,NA,27.6,23.9,NA,NA,72,1006.4,NA,0,0,NA,10,NA,NA,NA
"25",1961-01-09 00:00:00,83743,NA,25.4,23.6,28.6,NA,86,1008.6,NA,36,3,3.6,10,2.2,82.25,3
"26",1961-01-09 12:00:00,83743,0,25.2,23.8,NA,23.7,88,1008.2,NA,36,1,NA,10,NA,NA,NA
"27",1961-01-09 18:00:00,83743,NA,27.5,24.2,NA,NA,75,1005.2,NA,9,4,NA,10,NA,NA,NA
"28",1961-01-10 00:00:00,83743,NA,26,23.9,28.9,NA,83,1007,NA,5,4,7.1,10,3.2,83.25,2.333333
"29",1961-01-10 12:00:00,83743,0,27.1,24.4,NA,24.1,79,1006.6,NA,9,2,NA,5,NA,NA,NA
"30",1961-01-10 18:00:00,83743,NA,28.2,24.7,NA,NA,74,1004.7,NA,14,5,NA,7,NA,NA,NA
"31",1961-01-11 00:00:00,83743,NA,25.8,24.5,29.4,NA,90,1007,NA,0,0,7.1,9,3.2,81.25,1.333333
"32",1961-01-11 12:00:00,83743,5.9,26.5,24.4,NA,24.4,83,1007.2,NA,0,0,NA,7,NA,NA,NA
"33",1961-01-11 18:00:00,83743,NA,27.9,24.6,NA,NA,76,1006,NA,9,3,NA,10,NA,NA,NA
"34",1961-01-12 00:00:00,83743,NA,26.2,24,29.4,NA,83,1007.9,NA,14,1,3.8,5,3.4,82.5,1
"35",1961-01-12 12:00:00,83743,0,26,23.7,NA,23.7,82,1009.6,NA,36,1,NA,8,NA,NA,NA
"36",1961-01-12 18:00:00,83743,NA,25.8,24.2,NA,NA,88,1008.2,NA,0,0,NA,10,NA,NA,NA
"37",1961-01-13 00:00:00,83743,NA,25.6,23.1,31.6,NA,80,1010.2,NA,9,2,3,10,3,72.75,3.333333
"38",1961-01-13 12:00:00,83743,6.9,27.4,23.5,NA,22.9,71,1010.4,NA,0,0,NA,5,NA,NA,NA
"39",1961-01-13 18:00:00,83743,NA,30.1,24.7,NA,NA,62,1007.4,NA,14,4,NA,4,NA,NA,NA
"40",1961-01-14 00:00:00,83743,NA,25.2,22.4,31.7,NA,79,1007.5,NA,5,6,11.8,6,5.4,70,1.333333
